voi,S1,S2,S3,S4,S5,S6
0,1,1,1,1,1,1
1,1.1,1.1,1.1,1.069,1.069,1.069
2,1.2,1.2,1.2,1.138,1.138,1.138
3,1.3,1.3,1.3,1.207,1.207,1.207
4,1.4,1.4,1.4,1.276,1.276,1.276
5,1.5,1.5,1.5,1.345,1.345,1.345
6,1.6,1.6,1.6,1.414,1.414,1.414
7,1.7,1.7,1.7,1.483,1.483,1.483
8,1.8,1.8,1.8,1.552,1.552,1.552
9,1.9,1.9,1.9,1.621,1.621,1.621
10,1,2,2,1.69,1.69,1.69
11,1.1,2.1,2.1,1.759,1.759,1.759
12,1.2,1.077,1.031,1.828,1.828,1.828
13,1.3,1.177,1.131,1.897,1.897,1.897
14,1.4,1.277,1.231,1.966,1.966,1.966
15,1.5,1.377,1.331,1.035,2.035,2.035
16,1.6,1.477,1.431,1.104,2.104,2.104
17,1.7,1.577,1.531,1.173,1.05,1.004
18,1.8,1.677,1.631,1.242,1.119,1.073
19,1.9,1.777,1.731,1.311,1.188,1.142
20,1,1.877,1.831,1.38,1.257,1.211
21,1.1,1.977,1.931,1.449,1.326,1.28
22,1.2,2.077,2.031,1.518,1.395,1.349
23,1.3,1.054,2.131,1.587,1.464,1.418
24,1.4,1.154,1.062,1.656,1.533,1.487
25,1.5,1.254,1.162,1.725,1.602,1.556
26,1.6,1.354,1.262,1.794,1.671,1.625
27,1.7,1.454,1.362,1.863,1.74,1.694
28,1.8,1.554,1.462,1.932,1.809,1.763
29,1.9,1.654,1.562,1.001,1.878,1.832
30,1,1.754,1.662,1.07,1.947,1.901
31,1.1,1.854,1.762,1.139,2.016,1.97
32,1.2,1.954,1.862,1.208,2.085,2.039
33,1.3,2.054,1.962,1.277,1.031,2.108
34,1.4,1.031,2.062,1.346,1.1,1.008
35,1.5,1.131,2.162,1.415,1.169,1.077
36,1.6,1.231,1.093,1.484,1.238,1.146
37,1.7,1.331,1.193,1.553,1.307,1.215
38,1.8,1.431,1.293,1.622,1.376,1.284
39,1.9,1.531,1.393,1.691,1.445,1.353
40,1,1.631,1.493,1.76,1.514,1.422
41,1.1,1.731,1.593,1.829,1.583,1.491
42,1.2,1.831,1.693,1.898,1.652,1.56
43,1.3,1.931,1.793,1.967,1.721,1.629
44,1.4,2.031,1.893,1.036,1.79,1.698
45,1.5,1.008,1.993,1.105,1.859,1.767
46,1.6,1.108,2.093,1.174,1.928,1.836
47,1.7,1.208,1.024,1.243,1.997,1.905
48,1.8,1.308,1.124,1.312,2.066,1.974
49,1.9,1.408,1.224,1.381,1.012,2.043
50,1,1.508,1.324,1.45,1.081,2.112
